product_1_name,product_2_id,product_2_name,size_unit_1,retailer_1,match_source,price_1,brand_1,lexical_similarity,brand_similarity,price_2,size_value_2,category,size_value_1,size_unit_2,brand_2,currency_2,currency_1,similarity,product_1_id,size_similarity,retailer_2
skinnydip london Supermarket Vanilla Body Butter,PRD1b460093,Vanilla Bean Whipped Body Butter,g,Skinnydip,main_engine,8.0,,59.71,50.0,26.6,,Body Butter,200.0,,Vanilla Bean,GBP,GBP,73.8,PRD1c771653,50.0,Ecco-Verde.co.uk
skinnydip london Supermarket Vanilla Body Butter,PRD2cf048ea,Rubem Strawberry & Vanilla Body Butter,g,Skinnydip,main_engine,8.0,,56.45,50.0,11.0,,Body Butter,200.0,,Rubem Strawberry,GBP,GBP,72.5,PRD1c771653,50.0,YAYO Familia
skinnydip london Supermarket Vanilla Body Butter,PRDb9d5717c,Debenhams Hi Butter Mango Vanilla Body Butter,g,Skinnydip,main_engine,8.0,,53.33,50.0,23.8,,Body Butter,200.0,,Debenhams Hi,GBP,GBP,71.1,PRD1c771653,50.0,Debenhams
skinnydip london Supermarket Vanilla Body Butter,PRD8ce93f8d,I Love Cosmetics Vanilla Milk Body Butter,g,Skinnydip,main_engine,8.0,,50.0,50.0,9.99,,Body Butter,200.0,,I Love,GBP,GBP,67.0,PRD1c771653,50.0,Amazon.co.uk - Amazon.co.uk-Seller
Beauty of Joseon Glow Deep Serum,PRDf97f8370,Beauty of Joseon Light On Serum,,Boots.com,main_engine,12.75,Beauty,69.81,100.0,14.39,,Face Serum,,,Beauty,GBP,GBP,96.9,PRD1d5c7de4,50.0,Superdrug.com
Beauty of Joseon Glow Deep Serum,PRDdc78a78e,Beauty of Joseon Revive Serum Mucin,,Boots.com,main_engine,12.75,Beauty,68.89,100.0,16.97,,Face Serum,,,Beauty,GBP,GBP,90.0,PRD1d5c7de4,50.0,Millies.ie
Beauty of Joseon Glow Deep Serum,PRDc8d9fa08,Beauty of Joseon Essentials Duo,,Boots.com,main_engine,12.75,Beauty,56.9,100.0,22.88,,Face Serum,,,Beauty,GBP,GBP,78.4,PRD1d5c7de4,50.0,LOOKFANTASTIC
Body Butter (new) Charging....body Butter - Organic Oatmeal Scented,PRDdc65729d,Body Butter with Mango Butter – Lime,,eBay - vanceb01,main_engine,13.36,Body Butter,42.74,100.0,7.99,,Body Butter,,,Body Butter,GBP,GBP,67.5,PRD1d9f2d43,50.0,Handmade Fever
Body Butter (new) Charging....body Butter - Organic Oatmeal Scented,PRDf1b0c5d0,Body Butter with Mango Butter – Patchouli and Orange,,eBay - vanceb01,main_engine,13.36,Body Butter,39.63,100.0,7.99,,Body Butter,,,Body Butter,GBP,GBP,66.2,PRD1d9f2d43,50.0,Handmade Fever
Soap & Glory Call of Fruity Body Butter,PRDd4a6232d,Soap & Glory The Righteous Butter Body Butter,,Boots.com,main_engine,7.49,Soap,63.3,100.0,7.49,,Body Butter,,,Soap,GBP,GBP,90.8,PRD1e2d2b20,50.0,Boots.com
