product_1_id,product_2_id,product_1_name,product_2_name,brand_1,brand_2,category,size_value_1,size_unit_1,size_value_2,size_unit_2,price_1,price_2,currency_1,currency_2,retailer_1,retailer_2,similarity,hybrid_name_similarity,lexical_similarity,semantic_similarity,brand_similarity,size_similarity,match_source,processing_date,engine_version,confidence_tier,match_rank
PRDdd85df46,PRDd8d93ae9,"Nature Triangle Shampoo Bar, Nature Seven Green Soap shampoo, Seven Green Shampoo bar, Usman Grass Shampoo Bar, Polygonum Shampoo Soap, Calming &","1-3x Nature Triangle Shampoo Bar, Nature Seven Green Soap Shampoo, Natural Usman Grass Shampoo Bar, Calming & Strengthens Hair for Women and Men",Nature Triangle,,Shampoo Bar,,,1.0,pcs,6.99,12.95,GBP,GBP,Amazon.co.uk - Amazon.co.uk-Seller,fruugo.co.uk,81.2,81.21,75.65,89.55,50.0,50.0,main_engine,2025-11-18,enhanced_with_embeddings_v1,MEDIUM,8
PRDdd85df46,PRD89df39f4,"Nature Triangle Shampoo Bar, Nature Seven Green Soap shampoo, Seven Green Shampoo bar, Usman Grass Shampoo Bar, Polygonum Shampoo Soap, Calming &","Nature Triangle Shampoo Bar, Natural Grass Glutinous Rice Water Solid Shampoo Bar for Hair Care & Hair Growth, Calming & Strengthens Hair, Gentle on",Nature Triangle,Nature Triangle,Shampoo Bar,,,,,6.99,5.28,GBP,GBP,Amazon.co.uk - Amazon.co.uk-Seller,Amazon.co.uk - Amazon.co.uk-Seller,80.9,60.89,53.22,72.39,100.0,50.0,main_engine,2025-11-18,enhanced_with_embeddings_v1,MEDIUM,9
PRDdd85df46,PRDf2daad50,"Nature Triangle Shampoo Bar, Nature Seven Green Soap shampoo, Seven Green Shampoo bar, Usman Grass Shampoo Bar, Polygonum Shampoo Soap, Calming &","2025 Nature Triangle Shampoo Bar, Nature Seven Green Soap Shampoo, Natural Usman Grass Shampoo Bar, Calming & Strengthens Hair for Women and Men",Nature Triangle,,Shampoo Bar,,,1.0,pcs,6.99,6.89,GBP,GBP,Amazon.co.uk - Amazon.co.uk-Seller,fruugo.co.uk,80.0,79.99,76.7,84.93,50.0,50.0,main_engine,2025-11-18,enhanced_with_embeddings_v1,MEDIUM,10
PRDdd85df46,PRD2d71f7bb,"Nature Triangle Shampoo Bar, Nature Seven Green Soap shampoo, Seven Green Shampoo bar, Usman Grass Shampoo Bar, Polygonum Shampoo Soap, Calming &","Nature Triangle Shampoo Bar, Deep Cleaning Shampoo Bar for Traveling, Cepress Orientalis Platycladus Her-bal Hair Strengthening Soap, Strengthens",Nature Triangle,Nature Triangle,Shampoo Bar,,,,,6.99,7.79,GBP,GBP,Amazon.co.uk - Amazon.co.uk-Seller,Amazon.co.uk - Amazon.co.uk-Seller,74.6,54.55,44.92,69.0,100.0,50.0,main_engine,2025-11-18,enhanced_with_embeddings_v1,MEDIUM,11
PRDdd85df46,PRD1854213e,"Nature Triangle Shampoo Bar, Nature Seven Green Soap shampoo, Seven Green Shampoo bar, Usman Grass Shampoo Bar, Polygonum Shampoo Soap, Calming &","Nature Triangle Shampoo Bar,Control Oil & Strengthen Hair,Natural Shampoo Bar for Women & Men,2 in 1 Shampoo & Conditioner,Travel Shampoo,Cleansing",Nature Triangle,Nature Triangle,Shampoo Bar,,,,,6.99,9.99,GBP,GBP,Amazon.co.uk - Amazon.co.uk-Seller,Amazon.co.uk - Amazon.co.uk-Seller,72.2,52.2,39.77,70.85,100.0,50.0,main_engine,2025-11-18,enhanced_with_embeddings_v1,MEDIUM,12
PRDdd85df46,PRD4ebccb85,"Nature Triangle Shampoo Bar, Nature Seven Green Soap shampoo, Seven Green Shampoo bar, Usman Grass Shampoo Bar, Polygonum Shampoo Soap, Calming &",Natural Triangle Usman Grass Shampoo Bar,Nature Triangle,,Shampoo Bar,,,2.0,pcs,6.99,6.89,GBP,GBP,Amazon.co.uk - Amazon.co.uk-Seller,Amazon.co.uk - Amazon.co.uk-Seller,71.7,71.65,70.0,74.13,50.0,50.0,main_engine,2025-11-18,enhanced_with_embeddings_v1,MEDIUM,13
PRDde06dc8b,PRD22c33c78,Battle Green Natural Conditioner Bars (),Conditioner Bars,Battle Green,Conditioner Bars,Conditioner Bar,55.0,g,,,9.1,10.0,GBP,GBP,Battle Green,Anything But Plastic,61.0,,76.0,,0.0,50.0,post_processing,2025-11-18,enhanced_with_embeddings_v1,VERY_LOW,1
PRDde2fa45e,PRD94df6e4e,Malva & Lemon Funky Shampoo Bar,Shampoo Bar,Malva,Shampoo Bar,Shampoo Bar,,,,,8.0,4.99,GBP,GBP,The Green Turtle,The Suffolk Soap Co.,61.0,,76.0,,0.0,50.0,post_processing,2025-11-18,enhanced_with_embeddings_v1,VERY_LOW,1
PRDdea2a255,PRDaa61c7c6,Clarins Deluxe Double Serum Collection,Clarins Double Serum,Clarins Deluxe,Clarins Double,Face Serum,,,,,96.0,65.0,GBP,GBP,John Lewis & Partners,Clarins UK,69.0,,84.0,,0.0,50.0,post_processing,2025-11-18,enhanced_with_embeddings_v1,LOW,1
PRDe0b70b3d,PRD94df6e4e,Yorkshire Goddess Shampoo Bar,Shampoo Bar,Yorkshire Goddess,Shampoo Bar,Shampoo Bar,,,,,3.5,4.99,GBP,GBP,Sheffield Skincare Company,The Suffolk Soap Co.,65.0,,80.0,,0.0,50.0,post_processing,2025-11-18,enhanced_with_embeddings_v1,LOW,1
