product_id,product_name,brand_id,category_id,size_value,size_unit,price,currency,retailer_name,product_clean,brand_clean,category_clean,reason_unmatched
PRD3a56b740,"Chamomile, Lemon & Rosehip Shampoo Bar | Hair | WiDEYE Add Travel Tin",BRD68739920,CAT4f1e3d60,,,9.95,GBP,wideye.co.uk,chamomile lemon rosehip shampoo bar hair wideye add travel tin,brd68739920,cat4f1e3d60,No match >= threshold
PRD4a8c859e,"Hair Shampoo Bar,Scalp Cleansing Soap | Natural Solid Shampoo Bar for Women Men Home Travel Daily Care Combination Oily Dry Hair Cleansing",BRD11dd0f4a,CAT4f1e3d60,,,2.69,GBP,amazon.co.uk - amazon.co.uk-seller,hair shampoo bar scalp cleansing soap natural solid shampoo bar for women men home travel daily care combination oily dry hair cleansing,brd11dd0f4a,cat4f1e3d60,No match >= threshold
PRD83fd47e1,Hair Fuel Shampoo Bar | Hair | WiDEYE,BRD8d95cbf9,CAT4f1e3d60,,,6.95,GBP,wideye.co.uk,hair fuel shampoo bar hair wideye,brd8d95cbf9,cat4f1e3d60,No match >= threshold
PRD7485bdf4,Bergamot Shampoo Bar,BRD34c4d977,CAT4f1e3d60,,,6.75,GBP,ecco-verde.co.uk,bergamot shampoo bar,brd34c4d977,cat4f1e3d60,No match >= threshold
PRD8fa386e8,ATTITUDE Leaves Bar Nourishing Shampoo Bar,BRD163bc923,CAT4f1e3d60,,,9.3,GBP,amazon.co.uk,attitude leaves bar nourishing shampoo bar,brd163bc923,cat4f1e3d60,No match >= threshold
PRDc9f655c8,Rehab Shampoo Bar,BRD904f28f8,CAT4f1e3d60,,,6.95,GBP,amazon.co.uk - amazon.co.uk-seller,rehab shampoo bar,brd904f28f8,cat4f1e3d60,No match >= threshold
PRD7fa44424,grüum Scalp Repair Shampoo Bar - Solid Shampoo Bars for Hair Up to 60 Washes - Plastic Free Vegan Bar for Men & Women - Paraben Free Rich,,CAT4f1e3d60,50.0,g,12.0,GBP,amazon.co.uk - amazon.co.uk-seller,gr um scalp repair shampoo bar solid shampoo bars for hair up to 60 washes plastic free vegan bar for men women paraben free rich,none,cat4f1e3d60,No match >= threshold
PRD7fa44424,grüum Scalp Repair Shampoo Bar - Solid Shampoo Bars for Hair Up to 60 Washes - Plastic Free Vegan Bar for Men & Women - Paraben Free Rich,,CAT4f1e3d60,50.0,g,12.0,GBP,amazon.co.uk - amazon.co.uk-seller,gr um scalp repair shampoo bar solid shampoo bars for hair up to 60 washes plastic free vegan bar for men women paraben free rich,none,cat4f1e3d60,No match >= threshold
PRD51d77727,Ethique Rice Shampoo Bar for Dry and Damaged Hair,BRDd05eee4d,CAT4f1e3d60,,,13.21,GBP,ebay - ecotraders-australia,ethique rice shampoo bar for dry and damaged hair,brdd05eee4d,cat4f1e3d60,No match >= threshold
PRD7d4a6871,"Salty Beach Shampoo Bar | Fresh, Fruity, Soothing Hair, Sensitive Skin, Vegan | Everyday Use | The Yorkshire Soap Co.",BRD71e85483,CAT4f1e3d60,,,4.95,GBP,the yorkshire soap company,salty beach shampoo bar fresh fruity soothing hair sensitive skin vegan everyday use the yorkshire soap co ,brd71e85483,cat4f1e3d60,No match >= threshold
