retailer_id,source_id,retailer_name
RET04c0e2a5,SRC00000001,"{'url': 'https://www.skinstation.co.uk/skinceuticals-ce-ferulic-30ml?srsltid=AfmBOopFN94cIv-MkMCv7MedAErf2heYGSGyZUTd3T2_rB08EhJNHhI9Arg', 'name': 'Skinstation'}"
RET04c44df0,SRC00000001,"{'url': 'https://www.thisworks.com/products/perfect-legs-body-butter?variant=40795182399626&currency=GBP&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOoqsy5SMqxrfefDqjBXzd9j2a0be_yIIlCmQ-Yc5t8xChvNs_tHRCGg', 'name': 'ThisWorks.com'}"
RET04d6d841,SRC00000001,{'name': 'eu.thisworks.com'}
RET04d87729,SRC00000001,"{'url': 'https://ethique.co.uk/products/in-the-buff-travel-mini?srsltid=AfmBOooG34wHO8bxb_FYAw-ntcvnEoRpDITwPxp1ll09PkqOWEUgOsW5BOA', 'name': 'Ethique GB'}"
RET04df48a7,SRC00000001,"{'url': 'https://www.ebay.co.uk/itm/356426203633?chn=ps&_ul=GB&mkevt=1&mkcid=28&google_free_listing_action=view_item', 'name': 'eBay - checkmystores'}"
RET04ed65f1,SRC00000001,"{'url': 'https://snapklik.com/en-gb/product/sea-weed-solid-conditioner-bar-for-all-type-hair-soothing-formulation-reduces-irritation-and-moisturises-the-scalp-bring-a-new-fluffy-feel/0IL04P973X9I5?srsltid=AfmBOorxH3RWbBaOcELpCpsyYj5IpnQrySmXO433hdpHrQLo0-dQRapqzFo', 'name': 'Snapklik.com'}"
RET04f0b1ac,SRC00000001,{'name': 'Beautylish'}
RET04f6c767,SRC00000001,"{'url': 'https://www.paiskincare.com/products/peptides-booster?variant=55311319368059&country=GB&currency=GBP&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOor8U_Qh5dmLr5thz2Lhmy-6PLQ12ISjRlDRhtHsKDwXBvfBq7ET5qE', 'name': 'Pai Skincare UK'}"
RET050c7c15,SRC00000001,"{'url': 'https://www.moderngreennaturals.co.uk/product/Conditioner-Hair-Bar/154?cp=true&sa=false&sbp=false&q=false&category_id=7', 'name': 'modern green naturals'}"
RET052a9d16,SRC00000001,"{'url': 'https://greenlaurels.co.uk/product/shampoo-bar-dry-hair/?attribute_scent=Lemon', 'name': 'Green Laurels'}"
RET0533b9ea,SRC00000001,"{'url': 'https://www.pakcosmetics.com/brand/revuele/revuele/beauty-and-care-morocco-dream-body-butter.html?pscid=177718&srsltid=AfmBOooBZHP1UMwNi7Uf9PGLexPo2eqGxpIR3jgdvVjapgUUh0bduZNrK0k', 'name': 'Pak Cosmetic Centre'}"
RET0536826e,SRC00000001,"{'url': 'https://www.amazon.co.uk/Triangle-Shampoo-Strengthen-Conditioner-Cleansing/dp/B0FQP3826Z?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&psc=1&smid=AGRNBV5R4NS1H', 'name': 'Amazon.co.uk - Amazon.co.uk-Seller'}"
RET0551b591,SRC00000001,"{'url': 'https://www.gosupps.com/naples-soap-company-solid-shampoo-bar-free-of-parabens-alcohol-pthalates-handmade-ph-balanced-eco-friendly-hydrating-haircare-safe-and-effective-for-all-hair-types-lasts-50-75-uses-fragrance-free.html', 'name': 'GoSupps Beauty'}"
RET056d9262,SRC00000001,"{'url': 'https://kitandkin.com/products/body-butter?currency=GBP&variant=6899626344493&stkn=cb9e8cae59fd&srsltid=AfmBOoo_z8KiCVdFZxRagPuX9KYYaGgFI6W6S-MJX2rj4ajHqT84Naok50I', 'name': 'Kit & Kin'}"
RET0573f199,SRC00000001,"{'url': 'https://www.gosupps.com/good-juju-scalp-care-shampoo-bar-for-itchy-or-irritated-scalp-made-with-all-natural-certified-organic-ingredients-lavender-geranium-calming-scent.html', 'name': 'GoSupps Beauty'}"
